Random,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
best,0,1.34E-229,0,2.73E-228,1.62E-24,0,1.78E-05,-12569.48662,0,4.44E-16,0,1.17E-22,1.81E-26,0.998003838,0.000313473,-1.031628453,0.397887371,3,-3.862782121,-3.321921636,-10.15319931,-10.40293933,-10.53640884
std,0,0,0,0,0.007431777,0,0.000285813,0.011885359,0,0,0,4.89E-06,4.94E-05,2.92E-09,0.000314018,1.59E-06,5.29E-05,4.154045665,0.001012218,0.074176081,0.001353218,0.002267149,0.002411014
,,,,,,,,,,,,,,,,,,,,,,,
MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,5.50E-197,0,3.61E-192,0.002741419,0,0.000168399,-12569.4834,0,4.44E-16,0,1.53E-06,2.66E-05,0.998003838,0.000520589,-1.03162775,0.397898537,3.000064298,-3.861788541,-3.269096813,-10.15210703,-10.40145936,-10.53552151
time,0.267191162,0.272880492,0.367215037,0.266576362,0.275318403,0.298205376,0.29637764,0.27571866,0.273868942,0.279146886,0.281176147,0.32199964,0.314313931,0.724741502,0.620717688,0.257031164,0.254268641,0.263766341,1.206145234,1.206399636,0.798189039,1.006508169,1.320702772
worst,0,1.41E-195,0,1.81E-190,0.035027381,0,0.000552865,-12569.45054,0,4.44E-16,0,1.79E-05,0.000224866,0.998003841,0.001674433,-1.031620869,0.398030364,3.001530776,-3.85769251,-3.047790788,-10.14376083,-10.37814143,-10.52610574
best,0,8.56E-233,0,2.09E-232,1.88E-25,0,9.66E-06,-12569.48662,0,4.44E-16,0,2.90E-26,2.17E-29,0.998003838,0.00030964,-1.031628453,0.397887361,3,-3.862774346,-3.321858174,-10.15319937,-10.4028975,-10.53639857
std,0,0,0,0,0.005850615,0,0.000137833,0.006450638,0,0,0,3.08E-06,4.80E-05,5.29E-10,0.000397973,1.61E-06,2.37E-05,0.000228182,0.001080172,0.083702393,0.001970387,0.004097933,0.00191478
,,,,,,,,,,,,,,,,,,,,,,,
Sine,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,3.60E-196,0,6.41E-200,0.010227057,0,0.000209544,-12569.48032,0,4.44E-16,0,1.56E-06,2.35E-05,0.998003843,0.000444808,-1.03162817,0.40683306,3.000061597,-3.861910049,-3.259417603,-10.15239065,-10.40251791,-10.53577291
time,0.267054849,0.271478353,0.369711523,0.266056719,0.276628203,0.300180011,0.297244143,0.275749135,0.273755841,0.281215158,0.283305836,0.323202367,0.315881753,0.734668241,0.627137957,0.258838558,0.255462203,0.264915347,1.216194854,1.213858185,0.797467012,1.009088335,1.327134762
worst,0,1.80E-194,0,3.21E-198,0.112945661,0,0.000978292,-12569.42493,0,4.44E-16,0,2.61E-05,0.000279133,0.998004014,0.00167441,-1.031624522,0.844527907,3.00135968,-3.853833813,-3.065189667,-10.14378554,-10.39787923,-10.52894312
best,0,3.61E-226,0,2.53E-231,4.39E-22,0,1.61E-06,-12569.48662,0,4.44E-16,0,4.24E-26,2.87E-26,0.998003838,0.000310012,-1.031628453,0.397887361,3,-3.86277879,-3.321741402,-10.15319952,-10.40292175,-10.53637477
std,0,0,0,0,0.02330856,0,0.000221436,0.012894888,0,0,0,3.86E-06,4.86E-05,2.55E-08,0.000266684,6.49E-07,0.062527839,0.000218713,0.001441565,0.086568625,0.001904091,0.000829157,0.001386706
,,,,,,,,,,,,,,,,,,,,,,,
Piecewise,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
