MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0.00E+00,1.64E-194,0.00E+00,1.16E-198,1.87E-03,0.00E+00,1.87E-04,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,1.37E-06,2.97E-05,9.98E-01,5.01E-04,-1.03E+00,4.07E-01,3.00E+00,-3.86E+00,-3.26E+00,-1.02E+01,-1.04E+01,-1.05E+01
time,3.14E-01,3.17E-01,4.08E-01,3.13E-01,3.20E-01,3.44E-01,3.41E-01,3.22E-01,3.20E-01,3.25E-01,3.27E-01,3.63E-01,3.58E-01,7.42E-01,6.41E-01,3.05E-01,3.02E-01,3.10E-01,1.15E+00,1.15E+00,7.93E-01,9.87E-01,1.28E+00
worst,0.00E+00,8.19E-193,0.00E+00,5.74E-197,2.00E-02,0.00E+00,7.65E-04,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,1.74E-05,2.83E-04,9.98E-01,1.67E-03,-1.03E+00,8.45E-01,3.00E+00,-3.86E+00,-3.09E+00,-1.01E+01,-1.04E+01,-1.05E+01
best,0.00E+00,2.95E-229,0.00E+00,1.40E-232,3.46E-18,0.00E+00,7.82E-06,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,2.99E-28,5.04E-24,9.98E-01,3.08E-04,-1.03E+00,3.98E-01,3.00E+00,-3.86E+00,-3.32E+00,-1.02E+01,-1.04E+01,-1.05E+01
std,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.22E-03,0.00E+00,2.02E-04,1.25E-02,0.00E+00,0.00E+00,0.00E+00,3.18E-06,5.31E-05,2.32E-08,3.97E-04,8.35E-07,6.25E-02,7.46E-05,1.06E-03,7.71E-02,1.50E-03,3.08E-03,1.62E-03
