MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,9.23E-203,0,2.00E-200,0.010898359,0,0.00021597,-12569.48542,0,4.44E-16,0,1.98E-05,0.00016348,0.998003839,0.001166976,-1.031627779,0.397939146,7.967882943,-3.786600922,-2.894118119,-10.15216023,-10.40186598,-10.5326063
time,0.2898665,0.29321806,0.377528467,0.289863353,0.295211391,0.305343275,0.306060877,0.296624885,0.293891177,0.299998741,0.301493998,0.329638815,0.321138587,0.509155617,0.459395375,0.290041828,0.287610116,0.296369367,0.733314762,0.731840973,0.540116148,0.639290299,0.789484663
worst,0,4.58E-201,0,4.96E-199,0.407669345,0,0.00092248,-12569.47009,0,4.44E-16,0,0.000353144,0.001946614,0.998003877,0.00167659,-1.031617196,0.398282091,32.68450828,-3.606398085,-1.127900246,-10.13029339,-10.38511423,-10.43288933
best,0,5.69E-239,0,9.74E-248,1.93E-27,0,3.16E-06,-12569.48662,0,4.44E-16,0,1.57E-32,1.36E-30,0.998003838,0.000332265,-1.031628453,0.39788741,3,-3.862593967,-3.277652677,-10.15319956,-10.40282991,-10.53638073
std,0,0,0,0,0.057313458,0,0.000216986,0.00331578,0,0,0,6.10E-05,0.000424587,5.59E-09,0.000561518,1.75E-06,7.83E-05,10.61375872,0.089841941,0.430754635,0.003461964,0.003218396,0.014811812
