MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,7.29E-197,0,1.15E-198,0.173820398,0,0.00023056,-12569.25975,0,4.44E-16,0,7.84E-04,0.012773531,1.949700928,0.001385104,-1.031625067,0.406818342,3.00058617,-3.77690473,-3.014995335,-10.0947943,-10.33685665,-10.47950822
time,0.283396502,0.285607238,0.37087162,0.281926579,0.288469572,0.297535377,0.298274379,0.28718802,0.285577211,0.291314535,0.292295127,0.323347626,0.315383778,0.507894597,0.455765448,0.283812237,0.280302372,0.290027952,0.735723076,0.734342651,0.53818089,0.63728797,0.790132928
worst,0,3.61E-195,0,4.37E-197,2.781569962,0,0.000892147,-12564.9244,0,4.44E-16,0,0.004632649,0.132098571,5.929873984,0.003664391,-1.031587068,0.843478986,3.008362148,-3.563322303,-2.696051331,-9.663438639,-9.896353663,-9.966119525
best,0,2.94E-229,0,1.41E-233,1.11E-05,0,1.76E-06,-12569.4866,0,4.44E-16,0,2.11E-08,1.41E-05,0.998003838,0.000339643,-1.031628453,0.397887369,3.000000117,-3.862780715,-3.307180914,-10.15310894,-10.40281451,-10.53639139
std,0,0,0,0,0.437801387,0,0.000198624,0.663086802,0,0,0,1.04E-03,0.021692495,1.35E+00,0.000720874,7.49E-06,6.24E-02,0.00133625,0.091740942,0.165237474,0.095951912,0.101812518,0.100912427
