MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,9.59E-199,0,2.73E-195,0.209694484,0,0.00024081,-12569.39675,0,4.44E-16,0,1.08E-03,0.011362281,2.345788923,0.001271598,-1.031625198,0.397910545,4.744271285,-3.715637354,-3.000122907,-10.09436972,-10.33177361,-10.50465327
time,0.282626486,0.283994102,0.369547906,0.279771743,0.284791713,0.295782094,0.295185928,0.286106853,0.282149301,0.289496598,0.29073081,0.321123486,0.313747301,0.504955502,0.453146906,0.281421332,0.277633133,0.287094898,0.730839868,0.729432158,0.535548344,0.635153027,0.78762105
worst,0,4.60E-197,0,1.36E-193,4.91432271,0,0.000930166,-12568.78787,0,4.44E-16,0,0.015740231,0.123899046,5.92884515,0.014526286,-1.031561968,0.398188541,33.23453397,-3.089754977,-1.386502929,-9.538287372,-9.350403708,-10.31673144
best,0,1.31E-224,0,3.93E-227,2.32E-05,0,1.84E-06,-12569.48657,0,4.44E-16,0,2.87E-06,1.62E-07,0.998003838,0.000316641,-1.031628453,0.397887362,3.000000001,-3.862769059,-3.299599524,-10.15314687,-10.40287134,-10.53628666
std,0,0,0,0,0.727706769,0,0.000204682,0.157833717,0,0,0,2.33E-03,0.022295687,1.49E+00,0.002084744,9.97E-06,4.92E-05,6.908349343,0.165045009,0.266059406,0.109949898,0.161197268,0.045546277
