,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,0.0,0.0,4.440892098500626e-16,0.0,1.0699785154891007e-192,0.00286434982519265,7.053918059281153e-198,0.0001602534970296032,0.0,1.8252063210451512e-06,2.6119463930707153e-05,-12569.483042496495,0.0,0.0004667492660358012,0.9980038381681687,3.5400233304965876,-10.152185837850933,0.39789287695722564,-3.8617594769274515,-10.40215190108827,-10.151934075994514,-1.0316276340001844,-3.279404697727544,0.0,0.0,1.640203026778003e-07,-1.801302614958811,-1.0,0.002455858171525812,0.0,0.0,0.0,-1.0,-3.0,1746.2377671622207,3.2035220639846223e-07
std,0.0,0.0,0.0,0.0,0.0,0.005288346172704898,0.0,0.00015227541359508708,0.0,3.5163836042847883e-06,4.285987713547945e-05,0.010628445824234252,0.0,0.00027515618996924214,1.2826446568738507e-09,3.779997350953408,0.0028174079496697964,1.1999206954547395e-05,0.0015773859339026244,0.001856742271482369,0.004691929984963064,2.0318786705546955e-06,0.06670632682934309,0.0,0.0,1.1481331710174853e-06,2.6937296322302118e-06,0.0,2.0525852635437374e-13,0.0,0.0,0.0,0.0,0.0,270.9643194954683,4.7588065294826035e-07
worst,0.0,0.0,4.440892098500626e-16,0.0,4.553289476230574e-191,0.02303118999404784,3.5269379600172617e-196,0.0007826813352392467,0.0,2.0422601680047896e-05,0.00019886371251457915,-12569.41854520299,0.0,0.0016744332666514528,0.9980038462660108,30.00000478155199,-10.135649769848099,0.39794649488854894,-3.8561872750593995,-10.392917668872737,-10.121300913610577,-1.0316167734050443,-3.069486184300721,0.0,0.0,8.200952499679698e-06,-1.8012861052851339,-1.0,0.0024558581729626217,0.0,0.0,0.0,-1.0,-3.0,2247.4994466586013,2.0338141923293803e-06
best,0.0,0.0,4.440892098500626e-16,0.0,5.8235956998029e-228,2.4330519506476832e-24,1.8721285164627095e-230,6.392481269377094e-06,0.0,8.454068290132149e-25,7.802541907430395e-23,-12569.486618173014,0.0,0.0003089133256293764,0.9980038377944498,3.0000000001085585,-10.153199086840178,0.3978873577623592,-3.862781644825582,-10.402904579373496,-10.153199273945157,-1.0316284534860307,-3.321916823913232,0.0,0.0,1.3830395292080142e-236,-1.8013034100985321,-1.0,0.0024558581714964056,0.0,0.0,0.0,-1.0,-3.0,975.902332496179,6.1291243062509576e-24
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.4029,-10.5364,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.2993767261505127,0.29818215847015384,0.31081690788269045,0.3114238452911377,0.29723740577697755,0.3040596103668213,0.2929753971099853,0.3239653158187866,0.300461540222168,0.3518148612976074,0.3476863479614258,0.30094687461853026,0.29507387161254883,0.6365533113479614,0.7014994430541992,0.27310357093811033,0.30382113456726073,0.2663021802902222,0.295447039604187,0.31553510189056394,0.3018679428100586,0.2684251117706299,0.3012194013595581,0.3113368511199951,0.2983138704299927,0.29937034606933594,0.2711900091171265,0.29160476684570313,0.2616806173324585,0.2969916200637817,0.2637124395370483,0.3051740121841431,0.26328039169311523,0.3019814300537109,0.2979159927368164,0.3234911155700684
