MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,4.95E-203,0,5.97E-201,0.024457753,0,0.00020735,-12569.47386,0,4.44E-16,0,2.58E-05,0.000386236,0.998003838,0.001166586,-1.031627752,0.415814851,7.914000258,-3.797768537,-3.002616287,-10.15212168,-10.39791888,-10.53362713
time,0.297933249,0.30016099,0.386351037,0.295490918,0.300678105,0.310608511,0.311493454,0.301576519,0.298526449,0.305862131,0.307290821,0.335294228,0.328288665,0.521858783,0.46760838,0.294618158,0.291774178,0.301376843,0.749557896,0.749095745,0.550839787,0.65255157,0.803692517
worst,0,2.46E-201,0,2.99E-199,0.290223413,0,0.001159952,-12569.1539,0,4.44E-16,0,0.000614265,0.006187837,0.998003853,0.001706403,-1.031618359,0.844699274,32.68450824,-3.60467714,-2.70908022,-10.13791322,-10.29299667,-10.49331033
best,0,6.64E-233,0,1.44E-233,2.94E-26,0,3.92E-06,-12569.48662,0,4.44E-16,0,1.57E-32,3.51E-29,0.998003838,0.000312409,-1.031628453,0.397887359,3,-3.862763764,-3.250100323,-10.1531988,-10.40291787,-10.53636845
std,0,0,0,0,0.064272764,0,0.000240081,0.048619513,0,0,0,9.24E-05,0.001071723,2.08E-09,0.000563247,1.96E-06,8.75E-02,10.49434451,0.091703388,0.144713458,0.003075559,0.019534794,0.007566925
