MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
63,3.85E-37,2.25E-19,4.60E-37,9.85E-20,0.183672819,0,0.00169335,-12569.3015,0,4.44E-16,0,0.000204425,0.001756892,0.998004506,0.000685874,-1.03149973,0.498349979,3.006566909,-3.809220339,-2.897798128,-10.09871606,-10.38051353,-10.51668118
64,1.40E-38,1.05E-19,1.04E-38,9.63E-20,0.183506203,0,0.001684187,-12569.30721,0,4.44E-16,0,0.000203932,0.00174158,0.998004506,0.000683678,-1.031504568,0.498177823,3.006407068,-3.809275876,-2.898028063,-10.10188457,-10.38052272,-10.52231439
65,7.03E-39,3.80E-20,1.95E-39,2.60E-20,0.165200321,0,0.001681519,-12569.31797,0,4.44E-16,0,0.000194667,0.001737011,0.998004505,0.00068234,-1.031504903,0.498103102,3.005796014,-3.809330737,-2.898613287,-10.10485682,-10.38188369,-10.52239372
66,2.80E-39,4.02E-21,6.14E-41,9.14E-21,0.164745744,0,0.001680404,-12569.31842,0,4.44E-16,0,0.000194651,0.001673421,0.998004502,0.000674792,-1.031506939,0.498006525,3.005462041,-3.809341648,-2.899221914,-10.10489352,-10.38204656,-10.52269563
67,2.36E-39,8.68E-22,8.41E-42,3.61E-21,0.161823085,0,0.00161128,-12569.31888,0,4.44E-16,0,0.000194267,0.001640699,0.998004502,0.000674343,-1.031507235,0.497903882,3.004786077,-3.809353677,-2.900542881,-10.10559269,-10.38236423,-10.52346644
68,2.05E-40,5.21E-22,1.05E-42,1.14E-21,0.160802726,0,0.001582375,-12569.31888,0,4.44E-16,0,0.000193965,0.001633556,0.998004432,0.0006717,-1.0315113,0.49790227,3.004627414,-3.809429837,-2.901148556,-10.10605673,-10.38258444,-10.52359171
69,2.05E-40,5.03E-23,5.89E-44,3.44E-22,0.153074398,0,0.001582375,-12569.32413,0,4.44E-16,0,0.00019292,0.001612983,0.998004408,0.000653932,-1.031511326,0.497901142,3.004297605,-3.809473896,-2.902078662,-10.11779528,-10.38272122,-10.52361226
70,4.63E-41,2.99E-23,1.46E-45,1.98E-22,0.153053615,0,0.00157521,-12569.32418,0,4.44E-16,0,0.000131339,0.001532024,0.998004408,0.000652067,-1.031511382,0.497880641,3.004292619,-3.809492929,-2.90289413,-10.11946863,-10.38275551,-10.52402767
71,8.79E-42,1.07E-23,3.16E-46,1.50E-22,0.137655401,0,0.001566417,-12569.33204,0,4.44E-16,0,0.000125388,0.001501134,0.998004408,0.000652029,-1.031511855,0.497837175,3.004226765,-3.809503051,-2.909887376,-10.11956749,-10.38276187,-10.52413224
72,8.10E-43,7.59E-24,6.76E-47,1.21E-22,0.137439337,0,0.001505882,-12569.33598,0,4.44E-16,0,0.000114923,0.001487824,0.998004381,0.000650813,-1.031511909,0.497801215,3.004201794,-3.809535479,-2.917389578,-10.12303354,-10.38276262,-10.52419343
73,3.60E-44,3.81E-24,3.34E-47,8.14E-23,0.1337184,0,0.001503545,-12569.336,0,4.44E-16,0,0.00011306,0.001471451,0.998004381,0.000638707,-1.031511987,0.497781988,3.003885908,-3.809548119,-2.920631943,-10.12303377,-10.38285244,-10.52420667
74,3.48E-44,1.96E-24,1.70E-48,7.09E-23,0.133445081,0,0.00149806,-12569.33667,0,4.44E-16,0,0.000111086,0.001410254,0.998004381,0.000636775,-1.031519912,0.496209889,3.003715165,-3.809554557,-2.922058971,-10.12303384,-10.38287217,-10.52420813
75,1.86E-44,1.74E-24,4.27E-49,2.82E-23,0.133426108,0,0.001490584,-12569.34241,0,4.44E-16,0,0.000111083,0.00140896,0.998004381,0.00063592,-1.031519925,0.494532543,3.003707003,-3.809557862,-2.922468242,-10.12324036,-10.38304176,-10.52429143
76,1.42E-45,9.09E-25,3.73E-50,2.00E-23,0.132425725,0,0.001454403,-12569.34242,0,4.44E-16,0,0.000110266,0.001407821,0.998004161,0.000634971,-1.031530709,0.494249433,3.003638111,-3.809565533,-2.922669361,-10.1232429,-10.38304904,-10.52429979
77,1.52E-46,7.32E-25,1.03E-50,4.37E-24,0.132096215,0,0.001454403,-12569.35043,0,4.44E-16,0,0.000110245,0.001305438,0.99800416,0.000634698,-1.031530921,0.494132138,3.003595947,-3.809603039,-2.923651246,-10.12325841,-10.3831383,-10.5243038
78,1.46E-46,5.54E-25,5.11E-51,2.06E-24,0.130891379,0,0.001454403,-12569.35044,0,4.44E-16,0,0.000109466,0.001305254,0.998004157,0.000633458,-1.031531124,0.491802624,3.003540588,-3.809608019,-2.926744991,-10.12404221,-10.38313859,-10.52430609
79,3.19E-48,2.48E-25,1.47E-51,2.47E-25,0.130305757,0,0.001454403,-12569.35085,0,4.44E-16,0,0.000109239,0.001251179,0.998004157,0.0006152,-1.031531555,0.491515516,3.003508101,-3.809686474,-2.930060567,-10.12411099,-10.38314419,-10.52430651
80,2.96E-48,1.55E-26,6.30E-52,1.83E-25,0.128377177,0,0.001440586,-12569.35331,0,4.44E-16,0,0.000108676,0.001229841,0.998004121,0.000613717,-1.031531792,0.490771802,3.003320238,-3.809693746,-2.930184327,-10.12411212,-10.38314896,-10.52512773
81,1.40E-48,1.50E-26,3.01E-52,1.32E-25,0.128341484,0,0.001440586,-12569.35345,0,4.44E-16,0,0.000108506,0.001216063,0.998004121,0.000609074,-1.031531993,0.490044459,3.00323662,-3.811099058,-2.930897187,-10.12419558,-10.38517031,-10.52526946
82,2.69E-49,8.24E-28,1.31E-52,6.30E-26,0.12340755,0,0.001411033,-12569.35726,0,4.44E-16,0,0.000108479,0.001204343,0.998004098,0.000607909,-1.031536601,0.490004903,3.003233343,-3.811127696,-2.931504516,-10.12420539,-10.38522719,-10.52527383
83,1.86E-49,8.03E-28,6.48E-53,4.61E-26,0.123146763,0,0.001411033,-12569.35727,0,4.44E-16,0,0.000106826,0.001154454,0.998004098,0.000606184,-1.031537372,0.489336394,3.003185756,-3.811130095,-2.931976984,-10.12569174,-10.38522724,-10.52571703
84,1.86E-49,5.76E-28,4.98E-53,4.34E-26,0.120549655,0,0.001411033,-12569.3573,0,4.44E-16,0,0.000106755,0.001141386,0.998004098,0.000603466,-1.031537841,0.489326469,3.003130321,-3.811139827,-2.933038344,-10.12587374,-10.38522726,-10.5263862
85,1.86E-50,6.70E-29,1.44E-53,2.43E-26,0.119583285,0,0.001411033,-12569.3587,0,4.44E-16,0,0.000102499,0.00113154,0.998004098,0.000602302,-1.031539091,0.489322119,3.003037182,-3.81129989,-2.93415715,-10.12690347,-10.38522795,-10.52647237
86,1.29E-53,1.59E-29,1.45E-54,9.22E-27,0.119172479,0,0.001411033,-12569.40275,0,4.44E-16,0,9.04E-05,0.001130384,0.998004098,0.000601493,-1.031539769,0.489318915,3.003023384,-3.811306889,-2.936231217,-10.12751424,-10.38526346,-10.52712877
87,1.29E-53,1.52E-29,7.26E-55,6.15E-28,0.114990476,0,0.001411033,-12569.40378,0,4.44E-16,0,8.03E-05,0.00110227,0.998004088,0.000601113,-1.031544167,0.487999927,3.002998668,-3.811319333,-2.936793975,-10.12767076,-10.3852816,-10.52712889
88,4.15E-54,6.10E-30,2.39E-55,1.74E-28,0.114847851,0,0.001408907,-12569.40488,0,4.44E-16,0,7.62E-05,0.001102036,0.998004087,0.000599733,-1.031545076,0.487894413,3.002998122,-3.811572509,-2.940121916,-10.12839727,-10.38528186,-10.52713319
89,1.60E-55,6.01E-30,2.39E-55,1.67E-28,0.114338451,0,0.001404622,-12569.40488,0,4.44E-16,0,7.62E-05,0.001017194,0.998004087,0.000597094,-1.031545204,0.487889349,3.002878558,-3.811607727,-2.941883249,-10.13064127,-10.38528189,-10.52713361
90,2.94E-56,5.03E-30,2.28E-55,1.12E-28,0.114333959,0,0.001404622,-12569.41415,0,4.44E-16,0,7.42E-05,0.000950503,0.998003972,0.000596228,-1.031545685,0.487853417,3.002791821,-3.811803511,-2.942263563,-10.13232728,-10.38528202,-10.52716051
