MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
130,8.94E-87,1.37E-44,3.60E-86,1.48E-43,0.068685204,0,0.001107911,-12569.46323,0,4.44E-16,0,2.91E-05,0.000467992,0.998003867,0.000543742,-1.031605218,0.478997304,3.000858331,-3.81511739,-2.967129184,-10.14247693,-10.39076838,-10.53134717
131,2.82E-87,4.85E-45,2.44E-86,1.44E-43,0.068683624,0,0.001059958,-12569.46388,0,4.44E-16,0,2.91E-05,0.000466422,0.998003867,0.00054327,-1.031605537,0.478997023,3.000851651,-3.815121737,-2.967509103,-10.14250608,-10.39076841,-10.53134717
132,2.08E-89,6.14E-46,4.18E-87,4.35E-44,0.067898483,0,0.001044933,-12569.46393,0,4.44E-16,0,2.91E-05,0.000466397,0.998003866,0.000543177,-1.031606097,0.478737884,3.000850619,-3.815128889,-2.967642829,-10.14262353,-10.39077181,-10.5313472
133,7.97E-90,5.70E-46,1.19E-89,2.75E-44,0.064205294,0,0.001044933,-12569.46409,0,4.44E-16,0,2.76E-05,0.000466391,0.998003866,0.000542238,-1.031606114,0.47814338,3.000850382,-3.815133968,-2.967709163,-10.14265288,-10.39084465,-10.53138292
134,5.59E-90,1.67E-46,4.06E-90,1.78E-44,0.064204556,0,0.001029762,-12569.46409,0,4.44E-16,0,2.76E-05,0.000463506,0.998003866,0.000539937,-1.031606596,0.478101585,3.000841918,-3.815137481,-2.967855012,-10.14285238,-10.39084468,-10.53138369
135,4.55E-91,9.03E-47,3.54E-91,1.23E-44,0.063782615,0,0.001012276,-12569.46449,0,4.44E-16,0,2.76E-05,0.000457808,0.998003866,0.000539827,-1.031606766,0.477843173,3.000840348,-3.81513852,-2.968019979,-10.14440181,-10.39085119,-10.5313839
136,1.16E-92,5.48E-47,1.34E-91,7.26E-45,0.063642778,0,0.001012276,-12569.46476,0,4.44E-16,0,2.75E-05,0.000457429,0.998003866,0.000531454,-1.031606797,0.477713451,3.000837387,-3.815239461,-2.968181688,-10.1444545,-10.39092316,-10.53143129
137,5.17E-94,3.73E-47,4.42E-93,7.05E-45,0.063156681,0,0.000989757,-12569.46476,0,4.44E-16,0,2.75E-05,0.000446347,0.998003866,0.000531403,-1.031606918,0.47769222,3.000750356,-3.815253503,-2.968524513,-10.14445502,-10.3917193,-10.53143132
138,2.63E-94,1.65E-47,2.39E-93,6.21E-45,0.063117018,0,0.000982306,-12569.46476,0,4.44E-16,0,2.75E-05,0.000445637,0.998003866,0.000529052,-1.031607327,0.477646158,3.000748773,-3.815255547,-2.971262646,-10.14445517,-10.39296098,-10.53143162
139,9.80E-95,1.59E-47,8.64E-95,2.14E-45,0.062986094,0,0.000981822,-12569.46513,0,4.44E-16,0,2.69E-05,0.000444146,0.998003866,0.000527874,-1.031607381,0.477427585,3.000742809,-3.815327526,-2.971538806,-10.14445524,-10.39296123,-10.53145211
140,1.85E-95,4.43E-48,5.04E-96,1.44E-45,0.062794219,0,0.000971622,-12569.46677,0,4.44E-16,0,2.49E-05,0.000443996,0.998003866,0.000527872,-1.031607683,0.477420697,3.000733404,-3.815359263,-2.972465904,-10.14467684,-10.39370573,-10.53152807
141,5.78E-98,3.04E-48,3.05E-97,3.51E-46,0.06278716,0,0.000971622,-12569.46678,0,4.44E-16,0,2.49E-05,0.000442862,0.998003866,0.000527751,-1.031608,0.476708697,3.000710671,-3.815419388,-2.972671772,-10.14480507,-10.39371912,-10.5315307
142,1.37E-98,2.16E-48,1.87E-97,6.34E-47,0.062350879,0,0.000971622,-12569.46678,0,4.44E-16,0,2.47E-05,0.000437377,0.998003866,0.000527587,-1.031608028,0.476503666,3.000707467,-3.815429614,-2.974003491,-10.14480568,-10.39371917,-10.53153447
143,2.15E-99,6.13E-49,3.96E-98,3.83E-47,0.062308613,0,0.00096589,-12569.46754,0,4.44E-16,0,2.47E-05,0.000437369,0.998003866,0.00052718,-1.03160805,0.476458613,3.000707388,-3.815439103,-2.975721102,-10.14480568,-10.39372086,-10.53154022
144,9.96E-100,2.93E-49,2.06E-98,8.24E-49,0.062222252,0,0.00096589,-12569.46755,0,4.44E-16,0,2.47E-05,0.00043643,0.998003866,0.000526471,-1.031608052,0.476456307,3.000706544,-3.815447676,-2.982441007,-10.14480577,-10.39372086,-10.53154025
145,5.55E-100,1.20E-49,8.33E-100,8.18E-49,0.062086477,0,0.00096589,-12569.46757,0,4.44E-16,0,2.47E-05,0.00043553,0.998003866,0.00052641,-1.031608932,0.476455581,3.000704042,-3.81548366,-2.983567968,-10.14484835,-10.39391417,-10.53154025
146,9.59E-101,9.36E-50,1.64E-100,2.55E-49,0.06208085,0,0.000954576,-12569.4676,0,4.44E-16,0,2.44E-05,0.000434883,0.998003866,0.000526129,-1.031609229,0.476423707,3.000702173,-3.815608118,-2.983629987,-10.14487125,-10.39404839,-10.53154183
147,5.13E-101,7.97E-50,7.38E-101,4.15E-50,0.062013173,0,0.000949139,-12569.46761,0,4.44E-16,0,2.44E-05,0.000434636,0.998003866,0.000526056,-1.031609268,0.476370972,3.000658693,-3.815610122,-2.98377836,-10.14487152,-10.39438214,-10.53157322
148,1.90E-101,5.53E-50,5.28E-101,6.69E-51,0.062013126,0,0.000929425,-12569.46763,0,4.44E-16,0,2.40E-05,0.000433559,0.998003866,0.000522456,-1.0316093,0.476370233,3.000643261,-3.815612774,-2.984805056,-10.14492259,-10.39438214,-10.53157342
149,8.52E-102,1.70E-50,3.79E-101,2.50E-51,0.061952883,0,0.000892001,-12569.46765,0,4.44E-16,0,2.39E-05,0.000433528,0.998003866,0.000522334,-1.031609306,0.476315418,3.00064227,-3.815634477,-2.984958265,-10.14493616,-10.39439724,-10.53157368
150,5.28E-102,5.69E-51,1.52E-102,2.50E-51,0.061785192,0,0.000892001,-12569.46777,0,4.44E-16,0,2.39E-05,0.000419066,0.998003866,0.000521958,-1.031609385,0.475992202,3.000638428,-3.815638764,-2.985282244,-10.14493794,-10.39445031,-10.53159897
151,8.84E-103,1.63E-51,1.45E-102,2.50E-51,0.061601231,0,0.00087602,-12569.46777,0,4.44E-16,0,2.38E-05,0.000419022,0.998003866,0.000521246,-1.031609489,0.475842103,3.000636475,-3.81564919,-2.985626655,-10.14493878,-10.39445773,-10.53159898
152,1.34E-103,1.14E-51,5.67E-103,1.21E-51,0.059613919,0,0.00087602,-12569.46778,0,4.44E-16,0,2.38E-05,0.000418842,0.998003866,0.000521122,-1.031609503,0.474734455,3.000628194,-3.815650239,-2.985806175,-10.14610798,-10.39456648,-10.53160041
153,7.39E-104,8.68E-52,1.44E-104,2.72E-52,0.05945954,0,0.00085616,-12569.46778,0,4.44E-16,0,2.38E-05,0.000418811,0.998003866,0.000520808,-1.031609537,0.474723357,3.000622091,-3.815656869,-2.986074664,-10.14614079,-10.39548619,-10.53160046
154,5.39E-104,6.59E-52,2.24E-106,8.49E-53,0.058254534,0,0.00085616,-12569.46778,0,4.44E-16,0,2.38E-05,0.000418314,0.998003866,0.000520073,-1.031609539,0.474720635,3.000618132,-3.815662182,-2.986375344,-10.14616266,-10.39548625,-10.53160047
155,2.45E-105,2.87E-52,6.66E-107,5.55E-53,0.058252985,0,0.000839812,-12569.46852,0,4.44E-16,0,2.38E-05,0.000418265,0.998003866,0.000515768,-1.031609612,0.474696825,3.000614364,-3.81570087,-2.98696101,-10.14640096,-10.3956342,-10.53181195
156,7.87E-106,7.81E-53,5.45E-107,1.45E-53,0.051345184,0,0.000839812,-12569.46852,0,4.44E-16,0,2.36E-05,0.000418146,0.998003866,0.000514556,-1.031609624,0.474696334,3.000614139,-3.815726711,-2.987140882,-10.14640111,-10.39564168,-10.5318174
157,7.92E-108,7.80E-53,3.61E-107,1.45E-53,0.051328007,0,0.000839812,-12569.46911,0,4.44E-16,0,2.36E-05,0.000418013,0.998003866,0.000511742,-1.031609761,0.473558662,3.000606555,-3.815727322,-2.987851962,-10.14641074,-10.39635159,-10.53181758
158,7.05E-109,2.11E-53,3.32E-107,7.75E-54,0.051287932,0,0.000839812,-12569.46914,0,4.44E-16,0,2.35E-05,0.000418012,0.998003866,0.000511735,-1.031609875,0.473336722,3.000605156,-3.815745174,-2.987983412,-10.1471335,-10.39635237,-10.53181762
159,4.87E-111,9.62E-54,1.59E-108,5.28E-54,0.05127497,0,0.000839812,-12569.46916,0,4.44E-16,0,2.35E-05,0.000417999,0.998003866,0.000508587,-1.031609876,0.473335868,3.000604933,-3.815782386,-2.988099952,-10.14714853,-10.39639669,-10.53181974
160,3.54E-111,9.33E-54,3.51E-109,3.96E-54,0.051251665,0,0.000838787,-12569.46921,0,4.44E-16,0,2.31E-05,0.000417965,0.998003866,0.000508441,-1.031609883,0.47327675,3.000597657,-3.815788569,-2.988194407,-10.14755173,-10.3964022,-10.53182044
161,1.14E-111,6.29E-54,1.01E-109,2.25E-54,0.045443624,0,0.000838787,-12569.46936,0,4.44E-16,0,2.31E-05,0.000417777,0.998003866,0.000508325,-1.03161029,0.470634165,3.000597642,-3.815790045,-2.98859868,-10.1475519,-10.39640222,-10.5318217
162,5.76E-113,2.22E-54,3.46E-110,1.93E-54,0.045427832,0,0.000838787,-12569.46948,0,4.44E-16,0,2.29E-05,0.000417728,0.998003866,0.000507979,-1.031610478,0.470618279,3.000580647,-3.815885073,-2.988687484,-10.1475519,-10.39640232,-10.5318615
163,4.37E-113,2.22E-54,4.28E-111,1.39E-54,0.043600098,0,0.000838787,-12569.47171,0,4.44E-16,0,2.25E-05,0.0004174,0.998003866,0.000507498,-1.03161497,0.469995429,3.00056984,-3.815896791,-2.988750024,-10.14759098,-10.3964031,-10.53186255
164,1.28E-113,1.24E-54,3.75E-112,2.12E-55,0.043127391,0,0.000838787,-12569.47175,0,4.44E-16,0,2.25E-05,0.000417399,0.998003866,0.000507497,-1.031615073,0.469934132,3.000536379,-3.815898004,-2.988877547,-10.14759099,-10.39640326,-10.53186257
165,3.56E-114,5.25E-55,3.75E-112,1.57E-55,0.043076002,0,0.000829452,-12569.47177,0,4.44E-16,0,2.24E-05,0.000417395,0.998003866,0.000506243,-1.031615147,0.46992235,3.000534011,-3.81589987,-2.988946538,-10.14792831,-10.39641245,-10.53186258
166,1.21E-114,5.19E-56,1.19E-113,3.25E-56,0.040194115,0,0.000821091,-12569.47206,0,4.44E-16,0,2.24E-05,0.000417379,0.998003866,0.000505518,-1.031615283,0.469919477,3.000530303,-3.815916222,-2.989012263,-10.14796629,-10.39641254,-10.53186802
167,1.40E-116,1.19E-56,1.14E-113,6.83E-58,0.040177724,0,0.000811912,-12569.47206,0.00E+00,4.44E-16,0,2.20E-05,0.000417105,0.998003866,0.0005055,-1.031615285,0.469897152,3.000530191,-3.815920539,-2.989059612,-10.14796672,-10.39641256,-10.53246796
168,7.40E-117,4.07E-57,7.07E-114,6.83E-58,0.040173905,0,0.000804769,-12569.47208,0.00E+00,4.44E-16,0,2.20E-05,0.000417097,0.998003866,0.000505488,-1.031615285,0.469821983,3.000529406,-3.815925063,-2.989088564,-10.14817479,-10.39641501,-10.53246805
169,7.78E-118,4.06E-57,1.20E-114,1.92E-58,0.040064649,0,0.000804769,-12569.47208,0.00E+00,4.44E-16,0,2.19E-05,0.00041693,0.998003866,0.000504787,-1.031615311,0.469799299,3.000528414,-3.815927046,-2.989127308,-10.14817481,-10.39641574,-10.53258232
170,4.41E-119,3.01E-57,4.00E-115,1.78E-58,0.040056092,0,0.000804192,-12569.47339,0.00E+00,4.44E-16,0,2.15E-05,0.000403589,0.998003866,0.000504737,-1.031615327,0.469797186,3.0005269,-3.815927444,-2.989276527,-10.14817482,-10.39641648,-10.53258235
171,3.40E-119,6.93E-58,1.45E-116,1.78E-58,0.040055821,0,0.000787982,-12569.47342,0.00E+00,4.44E-16,0,2.15E-05,0.000403121,0.998003866,0.000504562,-1.031615338,0.469795019,3.000523653,-3.815929184,-2.989323903,-10.14817493,-10.3964183,-10.53258236
172,3.40E-119,6.92E-58,5.13E-117,1.39E-58,0.040052355,0,0.000787982,-12569.47344,0.00E+00,4.44E-16,0,2.15E-05,0.000402482,0.998003866,0.000504443,-1.031615348,0.469788618,3.000523563,-3.81593868,-2.989335772,-10.14819275,-10.39641852,-10.53258483
173,7.03E-120,4.68E-58,7.37E-118,8.09E-59,0.03737339,0,0.000787982,-12569.47344,0.00E+00,4.44E-16,0,2.15E-05,0.000400921,0.998003866,0.000504288,-1.03161536,0.469786799,3.000522282,-3.815941245,-2.989563064,-10.14821261,-10.39641976,-10.53262595
174,5.96E-120,4.43E-59,2.11E-118,3.14E-59,0.037346644,0,0.0007865,-12569.47344,0.00E+00,4.44E-16,0,2.15E-05,0.000400921,0.998003866,0.000504274,-1.031615437,0.469177965,3.000521879,-3.815941993,-2.989652195,-10.14821261,-10.39642072,-10.53311712
175,5.55E-120,3.36E-59,1.99E-119,1.50E-59,0.037346561,0,0.0007865,-12569.47347,0.00E+00,4.44E-16,0,2.15E-05,0.000400753,0.998003866,0.000504205,-1.031615551,0.469176735,3.000520823,-3.815946402,-2.989760255,-10.14821542,-10.3964211,-10.53311954
176,6.90E-121,1.25E-59,1.96E-119,6.69E-60,0.037346524,0,0.0007865,-12569.4735,0.00E+00,4.44E-16,0,2.15E-05,0.000400442,0.998003866,0.000504175,-1.031616026,0.469141474,3.000516118,-3.815948149,-2.990274815,-10.14821659,-10.39642228,-10.53327757
177,2.45E-121,9.74E-60,7.83E-120,5.20E-60,0.037309265,0,0.000784858,-12569.4735,0.00E+00,4.44E-16,0,2.13E-05,0.000396497,0.998003866,0.000504107,-1.03161604,0.46863566,3.000511457,-3.815956685,-2.99052582,-10.14821749,-10.39642229,-10.53327789
178,8.75E-124,2.48E-60,8.40E-122,2.27E-60,0.03547127,0,0.000784858,-12569.47351,0.00E+00,4.44E-16,0,2.11E-05,0.000396132,0.998003866,0.000501807,-1.031616363,0.467498338,3.000511321,-3.815963307,-2.990684836,-10.14830633,-10.39642238,-10.53377724
179,8.75E-124,7.87E-61,7.41E-122,3.98E-61,0.03547,0,0.000784858,-12569.47351,0.00E+00,4.44E-16,0,2.06E-05,0.000396132,0.998003866,0.000501709,-1.031616532,0.466078213,3.000510897,-3.815973343,-2.990779233,-10.14839028,-10.3964224,-10.53380642
180,1.26E-125,7.49E-62,4.96E-122,1.17E-61,0.035459952,0,0.000782308,-12569.47351,0.00E+00,4.44E-16,0,2.06E-05,0.000396129,0.998003866,0.000501636,-1.031617041,0.466074303,3.000487673,-3.815974256,-2.991015729,-10.14839114,-10.39650049,-10.53392876
181,1.08E-125,7.40E-62,3.71E-122,7.43E-62,0.035452949,0,0.000782308,-12569.47353,0.00E+00,4.44E-16,0,2.05E-05,0.000391576,0.998003866,0.000501256,-1.031617376,0.465636924,3.000479638,-3.815978867,-2.991032456,-10.14844134,-10.39650049,-10.53397205
182,1.08E-125,2.23E-62,3.67E-122,6.65E-62,0.035452945,0,0.000782308,-12569.47353,0.00E+00,4.44E-16,0,2.05E-05,0.00038885,0.998003866,0.000501142,-1.03161917,0.464977555,3.000477915,-3.816030778,-2.991109997,-10.14844134,-10.39650049,-10.53399119
183,1.91E-126,4.76E-63,2.17E-122,9.67E-63,0.035021862,0,0.000772407,-12569.47353,0.00E+00,4.44E-16,0,2.05E-05,0.000388817,0.998003866,0.000501138,-1.031619179,0.464573396,3.000475442,-3.816039271,-2.991312599,-10.1484418,-10.39650071,-10.53399173
184,1.96E-127,2.01E-63,1.34E-122,9.05E-63,0.035018524,0,0.000772407,-12569.47353,0.00E+00,4.44E-16,0,2.05E-05,0.000388814,0.998003843,0.000500935,-1.031619278,0.46360004,3.000446705,-3.816041359,-2.991652401,-10.1484418,-10.39650113,-10.53399176
185,8.35E-129,1.14E-63,2.36E-123,4.12E-63,0.034936552,0,0.000763403,-12569.47353,0.00E+00,4.44E-16,0,2.05E-05,0.000385258,0.998003843,0.000500933,-1.031619346,0.462175225,3.000440472,-3.816184538,-2.992051375,-10.14845111,-10.39650122,-10.53400063
186,1.48E-130,1.11E-64,1.80E-124,1.38E-63,0.03492857,0,0.000763403,-12569.47353,0.00E+00,4.44E-16,0,2.04E-05,0.000382916,0.998003841,0.000500924,-1.031619387,0.462173762,3.000439194,-3.816186432,-2.99214907,-10.1484659,-10.39667761,-10.53401448
187,9.10E-131,3.24E-65,1.80E-124,1.04E-63,0.0341155,0,0.000763403,-12569.47353,0.00E+00,4.44E-16,0,2.04E-05,0.000380909,0.998003841,0.0005005,-1.031619393,0.462158863,3.000432848,-3.816189475,-2.992351487,-10.1484787,-10.39667762,-10.53413666
188,9.10E-131,1.40E-65,3.60E-127,1.00E-64,0.034035672,0,0.000763403,-12569.47353,0.00E+00,4.44E-16,0,1.89E-05,0.00037984,0.998003841,0.00050024,-1.031619401,0.462158074,3.0004321,-3.816226658,-2.992437691,-10.14847983,-10.39667762,-10.53421092
189,5.28E-131,3.87E-66,3.60E-127,3.78E-65,0.034033937,0,0.000751903,-12569.47358,0.00E+00,4.44E-16,0,1.89E-05,0.000372147,0.998003841,0.000500213,-1.031619404,0.462157277,3.000428558,-3.816232456,-2.992620851,-10.14847984,-10.39667762,-10.53424847
190,4.34E-131,9.42E-67,1.49E-127,3.78E-65,0.034033932,0,0.000751903,-12569.47358,0.00E+00,4.44E-16,0,1.71E-05,0.000359295,0.998003841,0.000500009,-1.031619404,0.462157172,3.000416266,-3.816236173,-2.992700743,-10.14848049,-10.3967525,-10.53424891
191,2.42E-131,9.33E-67,1.29E-127,3.51E-65,0.034033392,0,0.00074955,-12569.47358,0.00E+00,4.44E-16,0,1.71E-05,0.000353311,0.998003841,0.000500005,-1.031619412,0.462145356,3.000415457,-3.816244815,-2.992824134,-10.14856144,-10.39677159,-10.53428757
192,8.17E-132,3.80E-67,8.38E-128,1.21E-65,0.034028063,0,0.00074955,-12569.47359,0.00E+00,4.44E-16,0,1.71E-05,0.000351363,0.998003841,0.000499792,-1.031619415,0.462144206,3.00041439,-3.816248251,-2.993066764,-10.14856147,-10.39677163,-10.53428815
193,5.92E-132,2.93E-67,1.42E-128,6.09E-68,0.034028013,0,0.000729178,-12569.47359,0.00E+00,4.44E-16,0,1.70E-05,0.000351363,0.998003841,0.000499744,-1.031619416,0.462144101,3.000414128,-3.816249629,-2.993611056,-10.14856602,-10.39677183,-10.5342884
194,6.35E-133,2.21E-67,1.30E-128,5.73E-68,0.034027931,0,0.000729178,-12569.47359,0.00E+00,4.44E-16,0,1.69E-05,0.000346785,0.998003841,0.000499691,-1.031619417,0.46173562,3.000414017,-3.81630715,-2.993633514,-10.14856604,-10.39677195,-10.5342885
195,1.21E-133,1.98E-67,8.66E-129,4.20E-68,0.034017727,0,0.000681333,-12569.47359,0.00E+00,4.44E-16,0,1.69E-05,0.000346784,0.998003841,0.000499592,-1.031619427,0.461734386,3.000409903,-3.816338044,-2.993654383,-10.14857155,-10.39678628,-10.53428905
196,3.82E-135,1.54E-67,5.96E-129,1.81E-68,0.034017665,0,0.000681333,-12569.47359,0.00E+00,4.44E-16,0,1.69E-05,0.00034573,0.998003841,0.000499551,-1.031619429,0.460662991,3.000409005,-3.816348879,-2.993798127,-10.14857157,-10.39697448,-10.53433828
197,3.00E-135,1.46E-67,2.61E-129,1.47E-68,0.033937706,0,0.000681333,-12569.4736,0.00E+00,4.44E-16,0,1.69E-05,0.000339677,0.998003841,0.000499516,-1.03161946,0.460661546,3.000408908,-3.816349486,-2.994201635,-10.14857345,-10.39811638,-10.53435669
198,1.15E-135,1.40E-67,5.02E-130,2.11E-69,0.033937607,0,0.000678776,-12569.4736,0.00E+00,4.44E-16,0,1.69E-05,0.000339544,0.998003841,0.000499379,-1.031619476,0.460661537,3.000408155,-3.816367194,-2.994293006,-10.14859326,-10.39872489,-10.53438689
199,4.76E-136,1.24E-67,2.50E-132,2.11E-69,0.033777938,0,0.000677931,-12569.4736,0.00E+00,4.44E-16,0,1.69E-05,0.000339277,0.998003841,0.000499378,-1.031622113,0.460660814,3.000408041,-3.81639018,-2.994373469,-10.14859392,-10.39875034,-10.53438787
200,2.72E-136,1.05E-67,2.46E-132,1.97E-69,0.033776524,0,0.000677931,-12569.4736,0.00E+00,4.44E-16,0,1.69E-05,0.000338414,0.998003841,0.000499373,-1.031622166,0.460655492,3.000407888,-3.816405892,-2.99459002,-10.15005684,-10.39880888,-10.53438788
201,9.19E-137,7.40E-68,2.17E-132,2.70E-70,0.033775702,0,0.000677931,-12569.4736,0.00E+00,4.44E-16,0,1.69E-05,0.000330767,0.998003841,0.000499337,-1.031622169,0.460653426,3.000407569,-3.816411025,-2.994612533,-10.15012525,-10.39880889,-10.5344177
202,5.88E-137,3.98E-68,2.56E-134,1.30E-71,0.033077469,0,0.000668946,-12569.47375,0.00E+00,4.44E-16,0,1.58E-05,0.000310974,0.998003841,0.000499319,-1.031623229,0.460651892,3.000406929,-3.816417726,-2.99474779,-10.15012755,-10.39880891,-10.53441771
203,1.54E-137,3.98E-68,1.71E-134,1.30E-71,0.033076991,0,0.000668036,-12569.47395,0.00E+00,4.44E-16,0,1.58E-05,0.000310944,0.998003841,0.000498902,-1.031623285,0.460641117,3.000405334,-3.816547331,-2.995006057,-10.15013976,-10.39881327,-10.53442219
204,8.36E-138,2.72E-68,1.35E-135,5.28E-72,0.033076853,0,0.000647945,-12569.47395,0.00E+00,4.44E-16,0,1.54E-05,0.000310781,0.998003841,0.000498899,-1.031623286,0.460640794,3.00039989,-3.816548655,-2.995118777,-10.15020919,-10.39881328,-10.53445653
205,2.76E-138,2.46E-68,1.18E-135,1.17E-72,0.033076204,0,0.000647945,-12569.47395,0.00E+00,4.44E-16,0,1.54E-05,0.000309972,0.998003841,0.000498841,-1.031623289,0.460639962,3.000399487,-3.816555371,-2.995180112,-10.15020921,-10.39881328,-10.53445726
206,1.66E-138,1.65E-68,1.34E-136,7.43E-74,0.033069368,0,0.000647945,-12569.47405,0.00E+00,4.44E-16,0,1.54E-05,0.000309769,0.998003841,0.000498727,-1.031623341,0.460639934,3.000395767,-3.816560956,-2.995361275,-10.1502233,-10.39881329,-10.53445727
207,5.80E-139,7.45E-71,1.17E-136,7.43E-74,0.033067259,0,0.000637285,-12569.47405,0.00E+00,4.44E-16,0,1.53E-05,0.000309745,0.998003841,0.000497511,-1.031623347,0.460639857,3.000392228,-3.816561435,-2.995372321,-10.15022454,-10.39881329,-10.53445727
208,4.82E-139,7.45E-71,1.17E-136,7.43E-74,0.033067182,0,0.000630994,-12569.47405,0.00E+00,4.44E-16,0,1.53E-05,0.00030108,0.998003841,0.00049732,-1.031623362,0.460639799,3.000392009,-3.816563304,-2.995466199,-10.15022455,-10.39881331,-10.53445825
209,1.09E-139,6.34E-71,4.18E-137,3.13E-74,0.033066126,0,0.000630994,-12569.47405,0.00E+00,4.44E-16,0,1.53E-05,0.000290751,0.998003841,0.000496762,-1.031623367,0.460639796,3.000318995,-3.8165698,-2.995494252,-10.15023211,-10.39886144,-10.53445908
210,1.93E-140,3.85E-71,1.15E-138,4.46E-75,0.033065887,0,0.000630994,-12569.47405,0.00E+00,4.44E-16,0,1.50E-05,0.00029075,0.998003841,0.000496456,-1.03162343,0.460639511,3.000318855,-3.816576241,-2.995606294,-10.1502422,-10.39887836,-10.53445909
211,1.52E-141,2.63E-71,2.02E-139,4.30E-75,0.033063273,0,0.000630994,-12569.47405,0.00E+00,4.44E-16,0,1.50E-05,0.000234624,0.998003841,0.000496442,-1.031623476,0.460636995,3.000317469,-3.816579613,-2.995661794,-10.15024369,-10.39887853,-10.53452453
212,6.20E-142,1.40E-71,1.27E-139,3.72E-76,0.033061913,0,0.000630994,-12569.47405,0.00E+00,4.44E-16,0,1.50E-05,0.000234475,0.998003841,0.000496199,-1.031623518,0.460636464,3.000314483,-3.81660828,-2.995688793,-10.1502437,-10.39887906,-10.53452834
213,1.75E-143,1.27E-71,9.99E-140,3.72E-76,0.032996253,0,0.000627255,-12569.47407,0.00E+00,4.44E-16,0,1.10E-05,0.000233723,0.998003841,0.000496184,-1.031623519,0.460636156,3.000311729,-3.817479762,-2.995723614,-10.1502611,-10.39887912,-10.53452835
214,8.67E-144,2.93E-72,6.33E-140,2.15E-76,0.032923308,0,0.000627255,-12569.47407,0.00E+00,4.44E-16,0,1.10E-05,0.000229533,0.998003841,0.00049617,-1.031623602,0.460635965,3.000307985,-3.817664523,-2.99573382,-10.15026111,-10.39887928,-10.53453815
215,1.59E-148,1.15E-72,1.31E-142,2.04E-76,0.032922677,0,0.000627255,-12569.47407,0.00E+00,4.44E-16,0,1.10E-05,0.000229401,0.998003841,0.000493662,-1.03162369,0.460635327,3.000295188,-3.817683036,-2.995755511,-10.15026218,-10.39905743,-10.53456052
216,1.57E-148,7.95E-73,4.63E-143,1.39E-76,0.032669999,0,0.000623597,-12569.4741,0.00E+00,4.44E-16,0,1.10E-05,0.000227676,0.998003841,0.000493316,-1.031624021,0.460635104,3.000294817,-3.817683278,-2.996040812,-10.15038128,-10.39905751,-10.53456052
217,1.06E-148,5.04E-73,1.13E-143,3.59E-77,0.03266785,0,0.000623597,-12569.4741,0.00E+00,4.44E-16,0,1.08E-05,0.000227637,0.998003841,0.000493136,-1.031624059,0.460634754,3.00029445,-3.817686282,-2.99609389,-10.15038166,-10.39905819,-10.53456182
218,1.06E-148,3.53E-73,4.16E-145,3.59E-77,0.032559807,0,0.000615162,-12569.4741,0.00E+00,4.44E-16,0,1.08E-05,0.000226833,0.998003841,0.000492795,-1.03162406,0.460633448,3.000293958,-3.817745449,-2.996348623,-10.15038166,-10.39905828,-10.53456185
219,5.64E-149,2.29E-73,3.60E-145,6.60E-78,0.032559661,0,0.000615162,-12569.4741,0.00E+00,4.44E-16,0,1.07E-05,0.000226016,0.998003841,0.000492793,-1.031624064,0.460633155,3.000278261,-3.817754204,-2.99642335,-10.15038719,-10.39906371,-10.53456228
220,9.24E-151,1.59E-73,1.60E-145,6.60E-78,0.032559637,0,0.000613521,-12569.4741,0.00E+00,4.44E-16,0,1.00E-05,0.00022597,0.998003841,0.000492767,-1.031624101,0.460632882,3.000277406,-3.81776524,-2.996546887,-10.15038719,-10.39907401,-10.53456234
221,1.52E-151,5.86E-74,3.32E-147,5.54E-78,0.032557144,0,0.000613521,-12569.4741,0.00E+00,4.44E-16,0,1.00E-05,0.000225876,0.998003841,0.00049276,-1.031624131,0.46063002,3.00027739,-3.817770131,-2.996585962,-10.15038862,-10.39907401,-10.5345646
222,1.52E-151,1.29E-74,3.32E-147,5.41E-78,0.032557137,0,0.000601812,-12569.4741,0.00E+00,4.44E-16,0,9.84E-06,0.000225366,0.998003841,0.000492759,-1.031624132,0.460628911,3.000277207,-3.818437453,-2.996587706,-10.1504394,-10.39907403,-10.5345654
223,7.48E-152,5.64E-75,7.59E-149,5.20E-79,0.032554902,0,0.000601812,-12569.4741,0.00E+00,4.44E-16,0,9.83E-06,0.000225204,0.998003841,0.000492624,-1.031624143,0.460622634,3.000277015,-3.81843776,-2.996896495,-10.15044853,-10.39907403,-10.53458724
224,2.34E-152,4.99E-77,8.70E-150,3.75E-79,0.032537838,0,0.000601812,-12569.4741,0.00E+00,4.44E-16,0,9.75E-06,0.00022507,0.998003841,0.000492597,-1.031624149,0.460621978,3.000274871,-3.818442342,-2.996904905,-10.15044877,-10.39992482,-10.534588
225,4.50E-157,4.98E-77,5.49E-151,1.06E-79,0.03253683,0,0.000601812,-12569.4741,0.00E+00,4.44E-16,0,9.74E-06,0.000225061,0.998003841,0.000492591,-1.031624152,0.460621956,3.000274805,-3.818683971,-2.997026093,-10.15045194,-10.39992482,-10.53461562
